Comment,Sentiment,text_length,clean_text
Proud to be apart of donating,Positive,29,proud apart donating
I love how the YouTubers got together to help those in need. THERE IS STILL HOPE IN HUMANITY.,Positive,93,love youtubers got together help need still hope humanity
How beautiful moment you guys made..,Positive,36,beautiful moment guys made
Proud To be involved,Positive,20,proud involved
Be blessed and continue to support humanity hand-pink-wavinghand-pink-waving,Positive,76,blessed continue support humanity handpinkwavinghandpinkwaving
Awesome,Positive,7,awesome
Feeling proud to be involved. Love from Bangladesh,Positive,50,feeling proud involved love bangladesh
Thank you so much all creators,Positive,30,thank much creators
We gave fame to the right person,Positive,32,gave fame right person
Bro is not just a YouTuber bro is a hero,Positive,40,bro youtuber bro hero
What if mrbeast become the President? Then the world will be,Positive,60,mrbeast become president world
We made the right person a celebrity with this man,Positive,50,made right person celebrity man
One of the most grateful and kind YouTuber I’ve known,Positive,53,one grateful kind youtuber ive known
Its great to be part of this project,Positive,36,great part project
This is awesome !!!! What a Beautiful Blessing,Positive,46,awesome beautiful blessing
"Powerful message, beautiful execution. Glad to play a role",Positive,58,powerful message beautiful execution glad play role
The best project that brings together YouTubers,Positive,47,best project brings together youtubers
Proud To Be Part Of This,Positive,24,proud part
I am so happy to see this it maid me smile,Positive,42,happy see maid smile
WE MAKE RIGHT PERSON FAMOUS,Positive,27,make right person famous
"You’re actually such a kind person, you’re a hero, you all are",Positive,62,youre actually kind person youre hero
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive,176,million people many us take granted humanity best joy faces villagers beautiful thing ive seen year
He is not youtuber he is hero,Positive,29,youtuber hero
Bro that hug really felt me cry,Positive,31,bro hug really felt cry
"We LOVE this, thank you for using this platform to help",Positive,55,love thank using platform help
Bless you guys,Positive,14,bless guys
Even alan becker joined,Positive,23,even alan becker joined
Excited to work with you guys,Positive,29,excited work guys
These people are definitely kind people.,Positive,40,people definitely kind people
"Glad to be part of this, hope we reach the goal and surpass it!",Positive,63,glad part hope reach goal surpass
he is awesome,Positive,13,awesome
Really proud of this man and other youtubers who involved in this,Positive,65,really proud man youtubers involved
"Thank you all for helping people in need, I am from Indonesia and I love you all.",Positive,81,thank helping people need indonesia love
One of the satisfactions of having a lot of money is helping others in need.,Positive,76,one satisfactions lot money helping others need
I am proud that there are such people in our world and Orkun is shining :),Positive,74,proud people world orkun shining
He is doing what the UN and other countries have failed to do.,Positive,62,un countries failed
That’s the kindness u help the world,Positive,36,thats kindness u help world
Proud to be apart of this video,Positive,31,proud apart video
"This is not just a video, it’s a testament to the power of kindness and unity. Fully supporting the $ million mission! huge thanks to Team Water and all the amazing creators involved!",Positive,183,video testament power kindness unity fully supporting million mission huge thanks team water amazing creators involved
You are fantástic...,Positive,20,fantstic
So happy to be a part of this,Positive,29,happy part
Thanks for allowing us to be a part of this collaboration,Positive,57,thanks allowing us part collaboration
"Congratulations, I hope all humanity will be happy",Positive,50,congratulations hope humanity happy
Changing world with team water,Positive,30,changing world team water
Absolutely incredible,Positive,21,absolutely incredible
It’s amazing how you unite people from all over the world to help those in need.,Positive,80,amazing unite people world help need
Proud of msbeast humanity,Positive,25,proud msbeast humanity
It’s just so amazing to see people coming together as a humanity to do what the people in charge have failed to. We made the right people famous,Positive,144,amazing see people coming together humanity people charge failed made right people famous
"This man is saving the world as a youtuber, Such a kind and wholesome man",Positive,73,man saving world youtuber kind wholesome man
This is just.. too wholesome.,Positive,29,wholesome
Such a kind person,Positive,18,kind person
Thank you guys for the compassion you have for others,Positive,53,thank guys compassion others
l love that you use your influence to help people.,Positive,50,l love use influence help people
TeamWater!,Positive,10,teamwater
Nepal,Neutral,5,nepal
"Even if we can't donate, let's support this video so more people can see it and help.",Positive,85,even cant donate lets support video people see help
Thank you so much for the partnership! We’re truly happy to be part of this amazing project alongside the Team Water community.,Positive,127,thank much partnership truly happy part amazing project alongside team water community
Thank you team for helping people love from Nepal,Positive,49,thank team helping people love nepal
Proud to be a part of this! Thank you,Positive,37,proud part thank
Hail mrbeast hail mrbeast,Positive,25,hail mrbeast hail mrbeast
Thanks,Positive,6,thanks
Mrbeast for worldwide,Positive,21,mrbeast worldwide
All of y’all are true heroes,Positive,28,yall true heroes
"Man this is truly incredible, it brings me to tears and brings me hope in humanity again",Positive,88,man truly incredible brings tears brings hope humanity
Team water has a golden heart,Positive,29,team water golden heart
Your are great person beast big big thankyou from Nepal,Positive,55,great person beast big big thankyou nepal
"Colombia is grateful to you, simply thank you",Positive,45,colombia grateful simply thank
I will try to donate as much as I can,Positive,37,try donate much
nice to see you madj,Positive,20,nice see madj
Who is watching from Nepal,Neutral,26,watching nepal
Thanks for helping people,Positive,25,thanks helping people
I could see the happiness on those pure hearted people.,Positive,55,could see happiness pure hearted people
"I Better have M subs"" and got M Insane""",Positive,39,better subs got insane
"Congrats on mill, man",Positive,21,congrats mill man
Incredible years. Congrats!!,Positive,28,incredible years congrats
I think future you has a little more than a million subs,Positive,56,think future little million subs
Happy year anniversary,Positive,22,happy year anniversary
I think you passed that million mark bro,Positive,40,think passed million mark bro
"Congratulations bro, mi",Positive,23,congratulations bro mi
You just about passed the m mark. Congrats!,Positive,43,passed mark congrats
Legendary it’s BACKKKKKKK,Positive,25,legendary back
It's really amazing how time has flown,Positive,38,really amazing time flown
"Congratulations, you made it.",Positive,29,congratulations made
This is legendary. You've made history!,Positive,39,legendary youve made history
"That's an Amazing Gift, you've given us. Thank you !",Positive,52,thats amazing gift youve given us thank
One of the most trippy yet inspirational things I've ever seen,Positive,62,one trippy yet inspirational things ive ever seen
Legend,Positive,6,legend
greatest video of all time great improvement,Positive,44,greatest video time great improvement
This is unironically the most inspirational video I’ve seen in the past few months.,Positive,83,unironically inspirational video ive seen past months
"So, How did you do on that history test?",Neutral,40,history test
It's so refreshing to see him being genuine,Positive,43,refreshing see genuine
"This is actually so cool to see, safe to say you have more than a million",Positive,73,actually cool see safe say million
happy years! congrats!!,Positive,23,happy years congrats
I think you got a little more than million,Positive,42,think got little million
You changed alot man congrats,Positive,29,changed alot man congrats
"it's refreshing seeing new creators, hope you get to M bro",Positive,58,refreshing seeing new creators hope get bro
"Congratulations bro, you made it",Positive,32,congratulations bro made
LMAO This is actually crazy to watch!,Positive,37,lmao actually crazy watch
Just A Legend,Positive,13,legend
This is honestly so inspiring,Positive,29,honestly inspiring
I'm proud of how great YOU'VE BECOME!,Positive,37,im proud great youve become
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive,97,seeing old goals completely obliterated super inspiring thanks sharing us
years ahead !!,Positive,14,years ahead
What a legend Super inspirational!,Positive,34,legend super inspirational
Congrats,Positive,8,congrats
Yeah.. you got a little more than M,Positive,35,yeah got little
CAME A LONG WAYYY,Positive,17,came long way
Legendary . We all need that kind of dedication and obsession to achieve what we are dreaming.,Positive,94,legendary need kind dedication obsession achieve dreaming
Congratulations,Positive,15,congratulations
You are an inspiration to all creators out there !!,Positive,51,inspiration creators
Congrats on M,Positive,13,congrats
bro got to far,Neutral,14,bro got far
"I can’t believe it’s been years bro, insane",Positive,43,cant believe years bro insane
Don’t worry your still alive,Neutral,28,dont worry still alive
"I'm a Spanish speaker, but I love your content and you're truly a role model, Beast. Congratulations, we wish you the best!",Positive,123,im spanish speaker love content youre truly role model beast congratulations wish best
Congratulations on hitting M dude,Positive,33,congratulations hitting dude
welcome to the million club XD,Positive,30,welcome million club xd
How proud would I be to watch this video now? That's really amazing.,Positive,68,proud would watch video thats really amazing
You did it congrats!,Positive,20,congrats
you see billions,Neutral,16,see billions
crazy,Positive,5,crazy
Amazing! Congrats!!!,Positive,20,amazing congrats
Hardwork and consistency can truly take you somewhere else Congrats on your journey,Positive,83,hardwork consistency truly take somewhere else congrats journey
This video is the best example of what happens when you focus on a clear goal.,Positive,78,video best example happens focus clear goal
"Congratulations bro, u passed subs.",Positive,35,congratulations bro u passed subs
"Nice Bro ! Step by step, we're heading towards million!",Positive,55,nice bro step step heading towards million
This shows hard work pays,Positive,25,shows hard work pays
Hella proud bro,Positive,15,hella proud bro
"Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.",Positive,109,yes succeeded become famous youtuber world warmest congratulations
You did it bro,Positive,14,bro
"Congrats, you've really made it",Positive,31,congrats youve really made
The Goat,Positive,8,goat
Dang dude. This is awesome. Congratulations homie.,Positive,50,dang dude awesome congratulations homie
CONGRATS!!!!!,Positive,13,congrats
Hopefully you get M!!,Positive,21,hopefully get
From preparing to history exams to now making History in humanity Insane achievement thala....,Positive,94,preparing history exams making history humanity insane achievement thala
Congrats man!,Positive,13,congrats man
You got your Million,Positive,20,got million
"Congrats on the million, maybe you will get mil in the future",Positive,61,congrats million maybe get mil future
You really have made it. Much love,Positive,34,really made much love
Congratulations on your success bro,Positive,35,congratulations success bro
"This is genuinely incredible, and I cannot begin to comprehend the massive amounts of effort required to achieve all of this.",Positive,125,genuinely incredible cannot begin comprehend massive amounts effort required achieve
Congrats bro!,Positive,13,congrats bro
It's really amazing,Positive,19,really amazing
lets just say you have way more than a million subs lmaoo,Positive,57,lets say way million subs lmaoo
Wow congratulations,Positive,19,wow congratulations
"CONGRATULATIONS, you've made it.",Positive,32,congratulations youve made
I hope you become famous,Positive,24,hope become famous
The most successful YouTuber,Positive,28,successful youtuber
"Hello, congratulations",Positive,22,hello congratulations
THIS IS EXCELLENT,Positive,17,excellent
"Happy th anniversary man, you are a true legend!!",Positive,49,happy th anniversary man true legend
Daym years . That little boy is now biggest youtuber in the world,Positive,65,daym years little boy biggest youtuber world
Bro you've become the biggest youtuber in the world,Positive,51,bro youve become biggest youtuber world
"Don't worry bro, u still alive and now u are comming to reach M subscriber",Positive,74,dont worry bro u still alive u comming reach subscriber
Bro is insanely successful,Positive,26,bro insanely successful
Wow the definition of resilience,Positive,32,wow definition resilience
Congrats for years anniversary,Positive,30,congrats years anniversary
Congratulations!! YEARS!,Positive,24,congratulations years
This is really proud moment for every man he set goal before yrs now achieved it way ahead than that goal is really crazy keeps it man you are doing great and lot more wishes to you to reach Billion subs on yt,Positive,209,really proud moment every man set goal yrs achieved way ahead goal really crazy keeps man great lot wishes reach billion subs yt
Happy years! You’ve been great!!!,Positive,33,happy years youve great
Mind blown!!!,Positive,13,mind blown
Your so close to .m subs CONGRATS,Positive,33,close subs congrats
WHAT GRADE DID YOU GET ON THE HISTORY TEST??,Neutral,44,grade get history test
Congrats for mil. Didn't even notice omg,Positive,40,congrats mil didnt even notice omg
Insane!!!!!,Positive,11,insane
"Wow , congratulations!!",Positive,23,wow congratulations
"I wonder if there'll be a years, years and years versions?",Neutral,58,wonder therell years years years versions
Inspiring . Congrats on such a amazing journey,Positive,46,inspiring congrats amazing journey
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.",Positive,137,guess proves whole thing people overestimate year underestimate years thing
Bro this is…….REVOLUTIONARY!!!!!,Positive,32,bro isrevolutionary
Congratulations U made it,Positive,25,congratulations u made
Congrats on mill. man,Positive,21,congrats mill man
The is the purest form of opening a time capsule…. Awesome.,Positive,59,purest form opening time capsule awesome
Damn! you got it.,Positive,17,damn got
Congratulations for M subs,Positive,26,congratulations subs
Definitely got a million,Positive,24,definitely got million
I love supporting small content creators,Neutral,40,love supporting small content creators
Congrats on reaching M subs,Positive,27,congrats reaching subs
thousand to M is INSANE,Positive,23,thousand insane
Very beautiful video,Positive,20,beautiful video
Happy th anniversary!,Positive,21,happy th anniversary
Bro you are not a loser...You are a true legend,Positive,47,bro loseryou true legend
you might have crossed million,Positive,30,might crossed million
Congratulations for being the best youtuber and you have success in life,Positive,72,congratulations best youtuber success life
"Bro, you have reached % more of your goal",Positive,41,bro reached goal
Success On Peak Consistency is the key of Success!!!,Positive,52,success peak consistency key success
Congratulations!! On hitting the M dude .,Positive,41,congratulations hitting dude
Ts is so crazy i subbed in . Insane growth beast. You’re a beast,Positive,64,ts crazy subbed insane growth beast youre beast
Absolutely insane. Congratulations!!!,Positive,37,absolutely insane congratulations
Insanely inspiring,Positive,18,insanely inspiring
so much has changed. happy year anniversary,Positive,43,much changed happy year anniversary
This is amazing,Positive,15,amazing
Congrats brother,Positive,16,congrats brother
You are Alive bro,Neutral,17,alive bro
You are legendary! A story of a hero,Positive,36,legendary story hero
Congrats on your success bruvv,Positive,30,congrats success bruvv
This is pretty cool. Congrats.,Positive,30,pretty cool congrats
Don't worry you 're still alive Congratulations,Positive,47,dont worry still alive congratulations
What did you get on that test?,Neutral,30,get test
Congratulations.This is really inspirational!,Positive,45,congratulationsthis really inspirational
"Wow,that’s incredible!",Positive,22,wowthats incredible
So awesome to see the success you've accomplished!,Positive,50,awesome see success youve accomplished
Congrats on K subs bro,Positive,22,congrats k subs bro
big love from youtubers indonesia,Positive,33,big love youtubers indonesia
And now you are successful bro we are from the future,Positive,53,successful bro future
The history test grade is now the world's biggest mystery,Neutral,57,history test grade worlds biggest mystery
Congrats!,Positive,9,congrats
Happy th anniversary! And Success!,Positive,34,happy th anniversary success
"k to m, in years, insane. love that you do this videos, i hope there are more coming in the future?",Positive,99,k years insane love videos hope coming future
Congratulations on your journey fam,Positive,35,congratulations journey fam
Congrats on the mil bro,Positive,23,congrats mil bro
Happy Year's anniversary,Positive,24,happy years anniversary
Without a doubt a great lesson that effort has the result you want over time,Positive,76,without doubt great lesson effort result want time
Such a legend you are!,Positive,22,legend
"years is crazy, congrats!",Positive,25,years crazy congrats
Amazing,Positive,7,amazing
Cant believe how far he has come! Congrats!,Positive,43,cant believe far come congrats
Congratulations on more than mill,Positive,33,congratulations mill
This is an amazing concept. I love this,Positive,39,amazing concept love
Happy for you and the journey from k subs to Million is crazy,Positive,61,happy journey k subs million crazy
You are truly proof of the power of believing and achieving. This is a manifesto,Positive,80,truly proof power believing achieving manifesto
Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!,Positive,85,congratulations made youve gone far thats crazy far youve come
"Happy years !, congrats",Positive,23,happy years congrats
"Yeah, you did it, how great u are",Positive,33,yeah great u
I hope you reached your goal!,Positive,29,hope reached goal
U made it to Million Buddy,Positive,26,u made million buddy
Such an Incredible years.Congrats bro!!!! Legend..,Positive,50,incredible yearscongrats bro legend
Bro is perfect example of hard work,Positive,35,bro perfect example hard work
What was your score in that history test?,Neutral,41,score history test
Whyyy this is very cute!,Positive,24,cute
You have MORE Then one million bro!,Positive,35,one million bro
"years later, and you're the most subscribed Youtuber in all the land!",Positive,69,years later youre subscribed youtuber land
"Congrats bro, you did it, we love you from Brazil!",Positive,50,congrats bro love brazil
Incredible journey!!!!!,Positive,23,incredible journey
I'm super happy for you. Love your content. Love how you help so many people out there.,Positive,87,im super happy love content love help many people
Congrats broski,Positive,15,congrats broski
Congrats!!!,Positive,11,congrats
"This is what setting goals, and focusing is all about! Congrats brother",Positive,71,setting goals focusing congrats brother
"this was rlly motivating, proves what dedication can do",Positive,55,rlly motivating proves dedication
"Congrats man, you've come a long way",Positive,36,congrats man youve come long way
You did bro,Positive,11,bro
"“When I’ll get older, I’ll be stronger” You proved these lyric’s true fr.",Positive,73,ill get older ill stronger proved lyrics true fr
This has been awesome and heart felt video. So proud of what you’ve built over the last years and excited to see where it goes into the future. Continue being the amazing person you are!,Positive,186,awesome heart felt video proud youve built last years excited see goes future continue amazing person
it is amazing....,Positive,17,amazing
"Yeah, congrats on mil!",Positive,22,yeah congrats mil
i love this bc it shows you how if you set your mind to a goal you can really accomplish so much! now i'm thinking about where i want to be in years,Positive,148,love bc shows set mind goal really accomplish much im thinking want years
M subs congrats to your future,Positive,30,subs congrats future
Yeah dude! You made it! Congrats!,Positive,33,yeah dude made congrats
Congratulations man,Positive,19,congratulations man
"You are amazing, you have come a long way Congratulations",Positive,57,amazing come long way congratulations
you’re doing great,Positive,18,youre great
Congratulations on your th anniversary! I support you.,Positive,54,congratulations th anniversary support
Legend! x your goal. This is the most inspirational video I've ever seen. I'm hyped up seeing this.,Positive,99,legend x goal inspirational video ive ever seen im hyped seeing
"Congratulations!, years are going by so fast.",Positive,45,congratulations years going fast
It’s so inspiring,Positive,17,inspiring
Happy years. Congrats!,Positive,22,happy years congrats
GOATTTT Thanks for always being an Inspiration<,Positive,47,goat thanks always inspiration
This is one of the most inspirational videos I’ve ever seen,Positive,59,one inspirational videos ive ever seen
The best motivation video to ever watch. Lesson: persistence is key!,Positive,68,best motivation video ever watch lesson persistence key
Congratulations brother,Positive,23,congratulations brother
I love watching young creators. Hope you get million subs,Positive,57,love watching young creators hope get million subs
Happy years!Congratulations,Positive,27,happy yearscongratulations
"You are the source of success, Beast. Congratulations. I wish you continued success.",Positive,84,source success beast congratulations wish continued success
Congratulations. You got Million and multiplied it by !,Positive,55,congratulations got million multiplied
"I hope you get that million subs bro, I'll be rooting for you~",Positive,62,hope get million subs bro ill rooting
"Amazing to see how far you've come, happy year anniversary",Positive,58,amazing see far youve come happy year anniversary
It's crazy how flying past M to M has changed your confidence and charisma congrats on + years of hard work and creativity!,Positive,123,crazy flying past changed confidence charisma congrats years hard work creativity
WoW you surpassed your goals,Positive,28,wow surpassed goals
Its nice to see that many people are supporting smaller content creators,Neutral,72,nice see many people supporting smaller content creators
"days"" alone with Al.""",Neutral,21,days alone al
. million in hours is crazy,Positive,27,million hours crazy
"Guys he already won the challenge you can leave the video now.""""",Neutral,64,guys already challenge leave video
:,Neutral,1,
Nothing beats a Jet Holiday!,Positive,28,nothing beats jet holiday
This was a genius way to get a personal pilot for a hundred days,Positive,64,genius way get personal pilot hundred days
no takesees backsees,Neutral,20,takesees backsees
underwater challenge?,Neutral,21,underwater challenge
THAT WAS PERSONAL,Neutral,17,personal
Bro the h with Nolan for unlimited DoorDash was literally a huge gift,Positive,69,bro h nolan unlimited doordash literally huge gift
He’s actually goated for taking them wherever they want and not showering,Positive,73,hes actually goated taking wherever want showering
"This was the realest episode I ever saw lol, ""NO! Whatever he offers you yo say no! I been trough enough!"" hahaha",Positive,113,realest episode ever saw lol whatever offers yo say trough enough hahaha
Think about how much footage there was to edit. The editors are goated fr,Positive,73,think much footage edit editors goated fr
The mental strength to survive a days in a plane is insane!!,Positive,60,mental strength survive days plane insane
This video definitely boosted door dash orders yesterday,Neutral,56,video definitely boosted door dash orders yesterday
As an introvert I swear I would ACE this type of solo challenges,Neutral,64,introvert swear would ace type solo challenges
Genius way to promote doordash. I needed a few seconds to realize that it is actually the sponsor,Positive,97,genius way promote doordash needed seconds realize actually sponsor
We want days in space challenge,Neutral,31,want days space challenge
Finally not showering pays off for someone,Positive,42,finally showering pays someone
The “table” of briefcases of money. LOL,Neutral,39,table briefcases money lol
how much people does mrbeast have trapped just constantly,Neutral,57,much people mrbeast trapped constantly
Nolan was too excited about that joke,Neutral,37,nolan excited joke
HE’S READING FOURTH WING OMG,Neutral,28,hes reading fourth wing omg
The next challenge is to buy a submarine and sit under water for days.,Neutral,70,next challenge buy submarine sit water days
This guy’s story telling skills have gone to another level,Positive,58,guys story telling skills gone another level
"WE did this"" is crazy""",Neutral,22,crazy
"Big brother, I really enjoy watching every one of your videos. This video is truly amazing!",Positive,91,big brother really enjoy watching every one videos video truly amazing
Getting Nolan over Karl is the biggest blessing he could ever get,Positive,65,getting nolan karl biggest blessing could ever get
The prizes this time for each days was actually one of the best ideas mrbeast thought of so far imo,Positive,99,prizes time days actually one best ideas mrbeast thought far imo
"I thought surviving hours in strange places was tough... but DAYS in one location? That’s discipline, mindset, and next-level motivation right there.",Positive,149,thought surviving hours strange places tough days one location thats discipline mindset nextlevel motivation right
"and even though you don't need it it comes with a shampoo""""""",Neutral,60,even though dont need comes shampoo
I loved that with all these temptations he chose to be as comfortable as possible with her.,Positive,91,loved temptations chose comfortable possible
Parkour challenge ?,Neutral,19,parkour challenge
Nolan be like:I am not irratated.,Neutral,33,nolan likei irratated
These SOLO challenges are WAY BETTER than the people ones!,Positive,58,solo challenges way better people ones
"Wow,that is intense Bat he will be set for life if he wins",Positive,58,wowthat intense bat set life wins
"And even tho you don't need it it comes with shampoo!"""" Bro roasted him respectfully""",Neutral,85,even tho dont need comes shampoo bro roasted respectfully
days for THIS?! WORTH IT. LEGENDARY ending!,Positive,43,days worth legendary ending
That shampoo's was personal,Neutral,27,shampoos personal
Armando so deserved the Jet . WE LOVE YOU ARMANDO,Positive,49,armando deserved jet love armando
Safe Travels Armando,Positive,20,safe travels armando
" $ for no shower no brainer"""" sm clip that""",Neutral,43,shower brainer sm clip
You should do a challenge surviving days with David Goggins,Neutral,59,challenge surviving days david goggins
"You don't just make videos, you make experiences for millions. Absolute LEGEND!""",Positive,80,dont make videos make experiences millions absolute legend
The way he comforts himself when he loses the lambo,Neutral,51,way comforts loses lambo
best part of the video,Positive,22,best part video
Always getting into exciting adventures,Positive,39,always getting exciting adventures
"“Even tho you don't need it but it's come with shampoo"" pure violence",Neutral,69,even tho dont need come shampoo pure violence
How do you make Big Head Bob cry tears of joy in every video :),Positive,63,make big head bob cry tears joy every video
Jet Holiday is the best!! Nothing can beats it!!,Positive,48,jet holiday best nothing beats
Armando you played it right Congrats on the new jet!!,Positive,53,armando played right congrats new jet
I can literally learn English through your videos. It is so useful when I can both study and entertain!,Positive,103,literally learn english videos useful study entertain
The editing in this video is on top dude,Positive,40,editing video top dude
Nice video bro,Positive,14,nice video bro
"Oh""""""",Neutral,5,oh
Next challenge should be days in space,Neutral,38,next challenge days space
"“Turned down a Lamborghini, eh whatever I got a bed”",Neutral,52,turned lamborghini eh whatever got bed
honestly that made me cry,Positive,25,honestly made cry
"I have to say, I love the way you merge other previous videos with this video, so cool!",Positive,87,say love way merge previous videos video cool
Next challenge Underwater With tareeq,Neutral,37,next challenge underwater tareeq
Omg it's the first time I opened this app at the right time!!,Neutral,61,omg first time opened app right time
Dude said no to a shower but yes to a gym,Neutral,41,dude said shower yes gym
A Bed is a BED W CHOICE,Positive,23,bed bed w choice
The co pilot is the goat he did all this and didn’t even get a plane,Neutral,68,co pilot goat didnt even get plane
"from a , dollar island to a . million dollar jet is a crazy transition over time in the money spent over a single vid",Positive,117,dollar island million dollar jet crazy transition time money spent single vid
Awesome as always,Positive,17,awesome always
POLAND MENTIONED RAAAHHHHHHHH,Neutral,29,poland mentioned rah
"Nothing beats a Jet holiday — the vibes, the views, the value. Absolute perfection!",Positive,83,nothing beats jet holiday vibes views value absolute perfection
days on the Army would be cool,Neutral,30,days army would cool
What a challenge,Neutral,16,challenge
Why is this scene so funny,Positive,26,scene funny
I Kinda wanna get a longer version… I mean days put in mins is Crazy Edit: Wee Need the uncut version,Neutral,101,kinda wanna get longer version mean days put mins crazy edit wee need uncut version
Choosing a bed instead of Lamborghini is worth it,Positive,49,choosing bed instead lamborghini worth
There is a reason why he became a pilot. He is an amazing person. It was such a romantic video.,Positive,95,reason became pilot amazing person romantic video
Amazing video,Positive,13,amazing video
Next videos: The most expensive marriage of all time. Mine.,Neutral,59,next videos expensive marriage time mine
Nothing beats a JetYou Holiday!,Positive,31,nothing beats jetyou holiday
its every mans weakpoint,Neutral,24,every mans weakpoint
Also for those of you curious to help offset the carbon emissions from the jet,Neutral,78,also curious help offset carbon emissions jet
Very Hard Challenge,Neutral,19,hard challenge
"After being stuck for days, he finally stepped off the jet only to get right back on!",Neutral,85,stuck days finally stepped jet get right back
"He was trapped in a jet, but still travelled to more places than most of us",Neutral,75,trapped jet still travelled places us
"days in a plane is actually insane, honestly how did he do it",Positive,61,days plane actually insane honestly
We need days in space,Neutral,21,need days space
Thank youuu,Positive,11,thank
Next challenge survive underwater Days.,Neutral,39,next challenge survive underwater days
days without growing a hair that's awesome man,Positive,46,days without growing hair thats awesome man
“no takeies backsies”,Neutral,21,takeies backsies
I would definitely pick shower,Neutral,30,would definitely pick shower
“even though you don’t need it it comes with shampoo” is crazy,Neutral,62,even though dont need comes shampoo crazy
You are the best YouTuber,Positive,25,best youtuber
Bros doing plane hostage vids now,Neutral,33,bros plane hostage vids
The last part of the video makes me cry,Positive,39,last part video makes cry
We Who's wee ¿,Neutral,14,whos wee
definitely airack,Neutral,17,definitely airack
the women’s react about not showering,Neutral,37,womens react showering
"First was with feastables cocoa, now with water. Better still you got several individuals involved. Thank you for all you do",Positive,124,first feastables cocoa water better still got several individuals involved thank
Love from assam ram ram,Positive,23,love assam ram ram
"Even though you don't need it it comes with a shampoo""""""",Neutral,56,even though dont need comes shampoo
Not showering for days is crazy,Neutral,31,showering days crazy
"As a pilot, I’m jealous",Neutral,23,pilot im jealous
Love you mrbeast,Positive,16,love mrbeast
bro needs to hesitate,Neutral,21,bro needs hesitate
Damnit Nolan,Neutral,12,damnit nolan
Nothing beats a Jet Holiday! wow inspire,Positive,40,nothing beats jet holiday wow inspire
"I'll be happy to host you on your next trip to Tanzania,its a perfect season to witness the great wildebeest migration in the serengeti",Positive,135,ill happy host next trip tanzaniaits perfect season witness great wildebeest migration serengeti
This is the best way to promote doordash,Positive,40,best way promote doordash
Thank you,Positive,9,thank
"This video was amazing, learned a lot.",Positive,38,video amazing learned lot
"Imagine a huge box truck converted into a tiny room with beds, snacks, fans, and even a gaming console. But here’s the twist — the truck keeps driving around the city nonstop! Every hour, a new surprise",Neutral,202,imagine huge box truck converted tiny room beds snacks fans even gaming console heres twist truck keeps driving around city nonstop every hour new surprise
Make one video on helping of Gaza people,Neutral,40,make one video helping gaza people
Bro is just trying to get a personal pilot for days,Positive,51,bro trying get personal pilot days
"It wasn't easy for him, he has great strength of spirit.",Positive,56,wasnt easy great strength spirit
great joke nolan,Positive,16,great joke nolan
That was amazing,Positive,16,amazing
He's actually goated!,Positive,21,hes actually goated
PHILIDELPHIA,Neutral,12,philidelphia
You guys are truly amazing. Creating entertaining content and helping people at the same time!,Positive,94,guys truly amazing creating entertaining content helping people time
Is was amazing,Positive,14,amazing
Nolan is in the mystery box would be so funny.,Neutral,46,nolan mystery box would funny
"AMAZING video, Armando the best",Positive,31,amazing video armando best
Beautiful ending,Positive,16,beautiful ending
"days? Try doing days deployed, then involuntarily extended. This is very much doable.",Neutral,85,days try days deployed involuntarily extended much doable
that’s so sweetttt,Positive,18,thats sweet
do a challange where someone has spend days in a yacht,Neutral,54,challange someone spend days yacht
Bro is a problem,Neutral,16,bro problem
“ no taksies backsies” bros a millionaire,Neutral,41,taksies backsies bros millionaire
million in days is crazy,Positive,24,million days crazy
was so funny,Positive,12,funny
THE GOAT IS BACKK,Positive,17,goat backk
Do a challenge where someone has to quit smoking and alcohol ?,Neutral,62,challenge someone quit smoking alcohol
Do a love island inspired challenge with Huda!!!,Neutral,48,love island inspired challenge huda
jimmys video schedule has gotten a lot better,Positive,45,jimmys video schedule gotten lot better
create similar challenges for excavator operators would be more difficult,Neutral,73,create similar challenges excavator operators would difficult
"I bought a submarine and if this captain stays inside days he keeps it!""""""",Neutral,74,bought submarine captain stays inside days keeps
Already a banger,Positive,16,already banger
Love the use of beast games guards!,Positive,35,love use beast games guards
you already had your Lamborghini just with wings,Neutral,48,already lamborghini wings
make sumeone quit drinking,Neutral,26,make sumeone quit drinking
Salute kind men,Positive,15,salute kind men
He'll be able to make a fortune with that jet,Neutral,45,hell able make fortune jet
Nolan’s jokes are,Neutral,17,nolans jokes
That jet is amazing!,Positive,20,jet amazing
"we have a dragon fan right there, Iron Flame, Onyx Storm and Eragon, thats some very nice reading material right there.",Neutral,119,dragon fan right iron flame onyx storm eragon thats nice reading material right
Mrbeast is so tall,Neutral,18,mrbeast tall
NAH THATS PLAIN FOUL CALLING SOMEONE BALD WITHOUT TRYING,Neutral,56,nah thats plain foul calling someone bald without trying
"bro took ""lemme just try it out"" a little too far",Neutral,49,bro took lemme try little far
Buy books and stories. Read endlessly. Buy toys and games.,Neutral,58,buy books stories read endlessly buy toys games
